	patent_id	inventor
688	309	James Scott Holland   III
689	310	Donald M.D. Gray (Gabb)
690	310	Paul J. Suto
691	311	Bengt Goran Eriksson
692	311	Stephen Ross Orpin
693	311	Timothy Kevin Graham
694	312	Jian-Rung Cheng
695	312	Tong-Fu Hsiao
696	313	David Van Vliet Ritchie
697	313	Herbert Campbell Wallace
698	313	Stephen Chambers Barrie
699	314	John J. Lewnard
700	315	David Moore J.
701	315	William Betts C.
702	316	GEORGE J. CYMERMAN
703	316	JESSICA VANDENBERGHE
704	317	Peter J. Ianniello
705	317	Aigen Zhao
706	317	Gary L. Shaffer
707	318	Hugues De Feraudy
708	318	Henri Seinera
709	319	Wing Young Yip
710	320	Jurgen Schenk
711	321	Frank Manfred Franz Mueller
712	322	Rocky R. White
713	322	Lawrence J. Bradford
714	323	Douglas Kelley G.
715	323	Richard Handley A.
716	324	Steve Benesi C.
717	324	Patrick Costalloe J.
718	325	Terry Maier L.
719	326	Michael Wagner P.
720	327	Sanjay Bellara
721	328	Randy Adams Howard
722	329	Thomas Kryzak J.
723	330	Kuniomi Araki
724	331	Keith Edward Forrester
725	332	John Poppe R.
726	333	Keith Edward Forrester
727	334	Brian Rogers
728	334	Andrea Alba
729	334	Shrinivas Peri
730	334	Shannon Stocks
731	334	Lingo Chang
732	335	David E. Brune
733	335	John A. Collier
734	335	Thomas E. Schwedler
735	335	A. G. Eversole
736	336	Steven Lumbert
737	337	Thomas J. Casper
738	337	Mark A. Schoenenberger
739	337	Brad D. Laubenstein
740	337	James A. Reilly
741	337	Joseph G. Krall
742	338	Thomas Alan Benjamin
743	338	Craig Jay Jones
744	338	Luther Alba Brice
745	339	Steven L. Cort
746	340	Wayne H. Dickinson
747	341	Kevin Mickelson
748	341	Roger Engelsgaard
749	342	Raymond Guyomarc'h
750	343	Hassan Badreddine Hans
751	344	Lysane Bolduc
752	345	Regis Renaud P.
753	346	Edward Jordan J.
754	346	Wenjun Liu
755	347	Masanori Adachi
756	347	Tatsuo Shimomura
757	348	David L. Polston
758	349	Gary Hater R.
