	inventor	patent_id
799	Jian Zhong XIONG	367
800	Hai Ying JI	367
801	Curt A. Christeson	368
802	William C. Batten	369
803	Bruce Kyles	369
804	Charles Kemp	369
805	Vincent Ciccone Pe Dee J.	370
806	William Kirksey Pe E.	370
807	Wing YOUNG Yip	371
808	Steven Trout M.	372
809	James McMahon P.	373
810	James Berry M.	374
811	Steve Morris	374
812	Roy Ames Victor	375
813	Matthew Etherington John	375
814	Nicholas Czeperko Michael	375
815	Ian Ugarte Joseph	375
816	Torfinn Johnsen	376
817	Scott Dunn	377
818	Jiang Ji	378
819	John Stark	379
820	Keith Forrester Edward	380
821	Keith Forrester Edward	381
822	Ho Nam Chang	382
823	Do-Yun Kim	382
824	Moon-II Kim	382
825	Chul-Hee Ryu	382
826	Woo-Gi Lee	382
827	Hans Tanghe	383
828	Michael Olson A.	384
829	Glenn Helm	385
830	Roger Carson W.	386
831	Bruce Bremer W.	386
832	Michael Mastracci L.	386
833	Kent Maggard E.	386
834	Jinliang Ding	387
835	Robert J. Kelly	388
836	Thomas Benjamin Alan	389
837	Craig Jones Jay	389
838	Luther Brice Alba	389
839	Werner Heidel	390
840	Luciano Salda	391
841	Keith Forrester Edward	392
842	Roy Ames Victor	393
843	Matthew Etherington John	393
844	Nicholas Czeperko Michael	393
845	Ian Ugarte Joseph	393
846	Curt Christeson A.	394
847	Shunta Shiraishi	395
848	Charles E. Tharp	396
849	Randall C. Chann	396
850	Yoshiaki Fukuda	397
851	Hirofumi Shiochi	397
852	Motomasa Okubo	397
853	Fumiyuki Yahagi	397
854	Toshihiko Mita	397
855	Kazuo Ishihara	397
856	Michael Marcellus Thomas	398
857	Steven Lumbert	399
858	Claus Hoffjann	400
859	Hans-Juergen Heinrich	400
860	Theodore Meyers W.	401
861	William Warren	402
862	Gordon Lewis	402
863	Robert Rizzari	402
864	Paul John Hart	403
865	Rebecca K. Snyder	403
866	Pavel Koren	404
867	Igal Raz	404
868	Robert Asimov	404
869	Rami Noach	404
870	Irena Trounkovsky	404
871	Mao-Hsiao Chen	405
872	Jyh-Yeong Hwang	406
873	David Ruttley J.	407
874	Gerardo Maga F.	408
875	Frederick Goetz E.	408
876	Ajit Chowdhury K.	409
877	Jeff Macri C.	409
878	Kevin Baker L.	409
879	Gregory Graf J.	409
880	Graham Juby John Gibson	410
881	Keith Forrester Edward	411
882	William Warren	412
883	Gordon Lewis	412
884	Robert Rizzari	412
885	Jonathan Dietz M.	413
886	Keith Forrester E.	414
887	Rocky White R.	415
888	Lawrence Bradford J.	415
889	Kenneth S. Price	416
890	Joe Kurek	416
891	Kurt Whitfield	416
892	Herbert I. Wissel	416
893	Daniel Cha K.	417
894	Seok-Young Oh	417
895	Pei Chiu C.	417
896	Byung Kim J.	417
897	John Peters    JR.	418
898	John Markee	418
899	Daryl Meyer G.	419
900	Steven Cort L.	420
901	Rodney Tyler W.	421
902	Keith Forrester Edward	422
903	Mohan Singh Saran	423
904	George Walter Luxbacher	423
905	Bryan Flynn Nicholas	424
906	Shamsedeau Rostami	424
907	Claude DeGarie J.	425
908	Sylvain Dufresne-Nappert	425
909	Douglas MacKrell A.	426
910	Paul Hutlet A.N.	426
911	Keith Forrester Edward	427
912	Glenn Helm	428
913	Keith Forrester Edward	429
914	Keith Forrester Edward	430
915	Terry Goolsby L.	431
916	Melissa Hayes	431
917	Marina Jensen B	432
918	Shunta Shiraishi	433
919	E. Jowett Craig	434
920	Kang Chin Lin	435
921	Roger Carson W	436
922	Bruce Bremer W.	436
923	Peter Ianniello J.	437
924	Aigen Zhao	437
925	Gary Shaffer L.	437
926	Roger Carson W.	438
927	Bruce Bremer W.	438
928	David Moore J.	439
929	William Betts C.	439
930	Mohammad Abu-Orf	440
931	Banu Ormeci	440
932	Patrick F. Dunne	441
933	David Brune E.	442
934	John Collier A.	442
935	Thomas Schwedler E.	442
936	A. Eversole G.	442
937	Juergen Heuser	443
938	Werner Verhoeven	443
939	Domien Sluyts	443
940	Dov Steinberg	444
941	Fernando deTorres A.	445
942	Mark Zappi E.	446
943	William French Todd	446
944	Rafael Hernandez	446
945	Stephen Dufreche Thomas	446
946	Darrell Sparks L.   JR.	446
947	Gary Ganzi	447
948	Anil Jha D.	447
949	Frederick Wilkins	447
950	Evgeniya Freydina	447
951	Aytac Sezgi	447
952	Reshma Madhusudan	447
953	Roger Carson W.	448
954	Bruce Bremer W.	448
955	Frederick Wilkins	449
956	Evgeniya Freydina	449
957	Aytac Sezgi	449
958	Reshma Madhusudan	449
959	Anil Jha D.	449
960	Curtis Kirker	450
961	Berkeley Fuller F.	450
962	Jan D. Graves	451
963	Tadeush Krushnevych	452
964	Olexander Piatnychko	452
965	Jon Fabri O.	453
966	Jason Holt	453
967	Wayne Dickinson H.	454
968	Peter Markusch H.	455
969	Ralf Guether	455
970	Thomas Sekelik L.	455
971	Shih-Chieh Chen	456
