ipc	patent
A62D	1799
B01D	1800
A62D	1801
E02D	1802
A01N	1803
C25B	1804
E21B	1805
B09C	1806
C02F	1807
B09B	1808
C02F	1809
B01F	1810
C02F	1811
C02F	1812
A62D	1813
C02F	1814
G21F	1815
B09B	1816
B09B	1817
C02F	1818
B09B	1819
C02F	1820
C02F	1821
C02F	1822
C01B	1823
B01D	1824
G06F	1825
B09B	1826
B09B	1827
B09B	1828
B09B	1829
B09B	1830
C02F	1831
C08J	1832
F26B	1833
B09C	1834
C02F	1835
C22B	1836
B27N	1837
C01B	1838
C02F	1839
A62C	1840
B09C	1841
C12S	1842
C02F	1843
F26B	1844
C02F	1845
C22B	1846
C02F	1847
B09B	1848
C02F	1849
C02F	1850
A61L	1851
C02F	1852
B09C	1853
B01D	1854
B01D	1855
B09C	1856
B01D	1857
C02F	1858
B09B	1859
B09B	1860
B09B	1861
C22B	1862
C02F	1863
E02D	1864
C02F	1865
C25F	1866
E02B	1867
A62D	1868
C25F	1869
B09B	1870
C02F	1871
C07C	1872
A62C	1873
B32B	1874
C12M	1875
C02F	1876
E02D	1877
B09B	1878
C02F	1879
E02F	1880
E02F	1881
B01D	1882
B09B	1883
B01D	1884
B01D	1885
A01B	1886
E21B	1887
E21B	1888
C02F	1889
C02F	1890
B09B	1891
B01D	1892
A62D	1893
C02F	1894
C10G	1895
C04B	1896
C02F	1897
A62D	1898
G01V	1899
C22B	1900
C02F	1901
A62D	1902
C02F	1903
C02F	1904
